"R1","R2","R3","R4","R5","R6","R7","R8","I1","I2","I3","I4","I5","I6","I7","I8","education","gender","age","race","country"
3,5,4,3,3,4,4,5,5,3,5,5,5,5,5,4,2,2,30,5,"US"
3,1,1,2,1,1,1,3,1,2,1,1,1,1,3,3,2,2,18,3,"US"
2,1,1,1,1,1,2,1,2,2,1,2,2,1,2,1,2,2,29,3,"US"
4,3,2,5,2,4,3,4,4,4,2,2,2,2,2,2,2,1,18,4,"US"
2,4,2,5,1,4,3,2,5,5,5,5,5,4,5,3,3,2,19,4,"US"
1,2,1,3,2,3,3,2,2,4,4,4,2,4,4,4,3,1,41,4,"US"
3,1,1,2,2,2,3,1,4,1,2,1,2,2,2,2,2,2,21,5,"US"
3,2,1,3,1,2,2,1,4,3,3,4,3,3,3,1,2,2,19,5,"US"
1,1,1,1,1,1,1,1,5,4,4,4,5,3,4,1,2,2,18,5,"US"
1,1,1,1,1,1,1,1,4,1,1,1,3,1,3,1,4,2,32,4,"US"
1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,2,2,19,1,"US"
1,2,1,5,3,1,3,1,1,2,1,1,1,1,1,1,1,1,14,3,"US"
3,1,1,1,1,2,1,1,4,1,1,4,3,2,3,1,1,1,15,4,"US"
4,3,3,5,3,3,4,3,4,3,3,4,3,2,3,2,1,1,16,5,"US"
1,4,1,1,1,3,1,1,1,5,1,1,1,5,1,1,4,2,53,4,"US"
1,1,2,1,1,2,2,2,1,3,3,2,2,2,2,1,3,2,47,4,"US"
4,1,1,1,1,1,1,1,5,4,1,3,3,1,1,1,2,2,20,3,"US"
5,1,1,3,1,1,1,1,5,5,5,3,4,5,5,3,2,2,26,5,"US"
1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,2,2,26,4,"US"
1,1,1,1,1,1,1,1,4,1,1,4,4,1,4,1,1,2,14,4,"US"
2,1,1,2,1,1,1,1,4,1,1,4,1,1,3,4,2,2,19,4,"US"
4,3,1,2,1,4,2,3,4,1,2,5,3,1,2,1,3,1,26,4,"US"
2,2,1,1,2,2,2,2,5,2,1,3,3,3,3,3,2,2,30,4,"US"
1,3,4,1,1,2,1,2,4,5,5,1,5,5,5,3,2,1,32,4,"US"
1,1,1,1,1,1,1,1,4,3,4,4,3,4,4,1,2,2,19,4,"US"
1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,5,1,2,13,3,"US"
3,3,3,1,1,2,1,3,4,4,2,3,1,3,1,1,2,2,21,4,"US"
5,1,1,5,1,1,1,1,5,1,1,5,1,1,1,1,3,2,40,1,"US"
3,4,2,4,3,4,3,4,4,4,4,4,4,4,4,4,3,1,49,5,"US"
1,5,3,2,1,5,2,5,5,5,5,5,5,5,5,4,2,2,45,4,"US"
2,1,3,3,1,1,2,1,5,5,5,4,4,5,4,4,3,2,47,4,"US"
1,1,1,1,1,1,1,1,5,5,4,4,4,4,4,4,2,2,19,5,"US"
1,5,3,1,3,4,1,3,5,5,5,5,3,5,3,5,3,2,23,4,"US"
1,1,1,1,1,1,1,1,2,3,1,3,2,1,1,1,4,2,45,4,"US"
1,1,1,2,1,1,1,1,4,5,4,3,3,1,3,3,2,2,20,4,"US"
2,1,1,1,1,1,1,1,3,5,4,4,4,4,4,2,1,2,15,4,"US"
1,3,1,1,1,3,1,3,4,3,4,2,3,4,2,4,3,2,28,4,"US"
3,1,1,1,2,1,1,2,5,3,2,5,4,2,4,1,2,2,23,4,"US"
3,3,1,1,1,1,1,1,5,5,5,5,5,5,5,2,2,2,19,5,"US"
1,1,1,1,1,2,1,1,4,4,1,5,2,2,1,2,3,1,28,4,"US"
3,3,1,3,1,4,3,3,3,4,3,3,3,3,3,3,2,2,35,5,"US"
1,1,1,1,1,3,3,1,5,5,5,5,5,5,5,5,2,2,21,5,"US"
1,2,1,1,1,3,1,2,5,5,4,4,5,3,4,2,3,2,26,4,"US"
2,1,1,1,1,1,2,1,4,4,4,1,4,5,4,4,4,2,35,4,"US"
4,1,1,3,1,3,2,1,4,3,3,4,3,3,3,2,2,2,44,5,"US"
5,1,1,1,1,5,1,1,1,1,1,5,1,1,3,1,2,2,43,4,"US"
1,1,1,1,1,1,1,1,5,1,1,5,4,1,5,1,2,2,28,4,"US"
5,3,1,5,4,5,4,4,4,3,5,5,5,5,5,5,3,1,41,4,"US"
1,4,2,2,2,4,3,4,3,1,2,3,1,3,1,4,3,2,61,5,"US"
3,1,1,2,1,3,2,2,3,3,3,2,3,3,3,2,3,2,35,4,"US"
3,3,2,3,1,3,1,3,2,4,4,2,2,4,3,4,1,1,15,5,"US"
3,1,1,5,1,1,2,1,1,1,1,1,1,1,1,1,2,1,16,3,"US"
1,1,1,1,1,1,5,1,1,1,1,5,1,1,1,3,2,2,14,3,"US"
3,3,3,5,2,5,3,3,5,3,5,5,3,3,5,5,1,1,15,5,"US"
2,1,1,1,1,1,1,1,3,4,3,3,3,2,1,1,2,2,14,4,"US"
1,1,1,2,2,1,3,1,3,5,3,3,3,3,1,1,1,2,15,3,"US"
5,5,1,3,4,1,4,3,5,5,5,3,4,5,4,5,2,2,15,3,"US"
3,1,1,4,1,1,1,1,4,3,4,4,4,3,3,1,1,1,14,5,"US"
4,2,1,1,1,1,2,1,3,3,3,3,1,1,3,1,2,2,15,3,"US"
1,1,1,1,1,1,1,1,1,1,3,1,4,1,3,1,1,2,14,3,"US"
1,1,1,1,1,1,1,1,2,1,1,4,1,1,1,1,1,2,15,3,"US"
5,5,3,4,3,4,4,5,4,4,3,1,3,2,2,2,1,1,14,4,"US"
1,1,1,1,1,3,3,1,3,1,1,1,1,1,1,1,1,2,15,5,"US"
4,3,3,3,3,2,4,3,3,4,5,5,4,5,5,1,1,2,14,5,"US"
1,3,1,4,3,1,1,3,3,2,1,3,1,1,3,1,1,1,14,3,"US"
1,1,1,1,1,1,1,1,3,5,4,4,1,3,1,1,1,2,15,5,"US"
2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,14,3,"US"
1,1,1,1,1,1,1,1,1,3,5,1,1,1,1,1,1,2,15,5,"US"
5,1,1,1,1,1,1,1,3,1,1,5,5,3,1,1,1,2,14,4,"US"
4,5,1,4,3,4,3,5,4,4,3,3,3,3,1,3,1,1,18,4,"US"
2,1,1,1,1,1,2,3,1,3,2,3,2,3,1,3,2,2,16,4,"US"
4,1,1,2,1,1,1,1,4,4,4,4,4,4,5,4,3,1,24,5,"US"
3,2,1,1,1,1,3,2,2,1,1,1,1,1,1,1,2,2,18,4,"US"
2,4,1,5,2,3,2,5,1,1,1,3,1,1,2,1,1,1,15,4,"US"
1,1,1,1,1,1,1,1,3,4,3,1,3,4,1,3,1,1,14,4,"US"
3,1,2,2,2,2,2,2,3,5,4,2,2,3,3,2,1,2,14,5,"US"
4,2,2,3,2,3,1,2,5,4,3,5,5,2,4,2,3,1,30,4,"US"
3,2,3,1,2,3,2,4,2,3,3,1,2,1,1,1,2,1,15,3,"US"
1,1,1,1,1,1,1,1,1,4,2,2,1,1,1,1,2,2,15,5,"US"
3,5,1,5,3,5,1,5,5,3,5,5,4,5,5,5,3,2,43,1,"US"
3,1,1,1,1,5,1,1,4,3,3,3,3,2,2,2,2,1,23,5,"US"
2,4,5,4,3,4,4,4,3,2,2,4,2,1,4,1,3,2,24,3,"US"
3,4,2,4,4,5,4,3,4,5,3,3,3,4,3,2,4,2,24,4,"US"
1,1,1,1,1,1,1,1,5,4,1,4,2,1,2,1,2,2,18,3,"US"
3,3,2,2,2,3,3,3,4,3,2,5,4,3,3,2,2,2,22,3,"US"
